region,ages,year,population
KY,under18,1997,1002609
CO,under18,1996,1003946
MI,total,2003,10041152
MT,total,2012,1005494
MI,total,2004,10055315
RI,total,1990,1005995
AZ,under18,1990,1006040
RI,total,1991,1010649
KY,under18,2013,1014004
MT,total,2013,1015165
KY,under18,2007,1016288
RI,total,1995,1017002
DC,under18,2009,102098
KY,under18,2011,1021926
DC,under18,2008,102257
SC,under18,2005,1036941
ID,total,1991,1041316
AL,under18,1990,1050041
RI,total,2013,1051511
RI,total,2009,1053646
RI,total,2008,1055003
DC,under18,2006,105651
RI,total,2007,1057315
CO,under18,1998,1060066
SC,under18,2007,1064190
PR,under18,2002,1065051
RI,total,2002,1065995
SC,under18,2008,1074116
LA,under18,2006,1078779
SC,under18,2009,1079729
SC,under18,2010,1079978
DC,under18,2004,109756
ID,total,1993,1108768
NH,total,1990,1112384
OH,total,1994,11152455
NH,total,1992,1117785
AL,under18,1998,1118252
LA,under18,2010,1118576
AZ,under18,1994,1119857
AL,under18,2001,1120409
DC,under18,1990,112632
OH,total,1998,11311536
OH,total,1999,11335454
AL,under18,2009,1134192
OH,total,2000,11363543
DC,under18,1998,113839
OH,total,2001,11387404
OH,total,2002,11407889
NH,total,1994,1142561
OH,total,2003,11434788
CO,under18,2003,1144597
DC,under18,2000,114503
ID,total,1994,1145140
OH,total,2004,11452251
DC,under18,2001,114625
OH,total,2010,11545435
OH,total,2012,11553031
CO,under18,2005,1156399
NH,total,1995,1157561
HI,total,1993,1172838
AZ,under18,1995,1173391
LA,under18,2004,1182731
PA,total,1990,11903299
IL,total,1994,11912585
PA,total,1991,11982164
HI,total,1996,1203755
DC,under18,1993,120471
PA,total,1992,12049450
IL,total,1996,12101997
HI,total,2000,1213519
HI,total,1998,1215233
AZ,under18,1996,1215285
NV,total,1990,1220695
PA,total,1996,12220464
LA,under18,1991,1222330
PA,total,1997,12227814
PA,total,1998,12245672
MN,under18,1993,1226723
VT,under18,2013,122701
PA,total,2000,12284173
ME,total,1990,1231719
IL,total,1999,12359020
LA,under18,1992,1237034
AZ,under18,1997,1237159
PA,total,2003,12374658
CO,under18,2013,1237932
ME,total,1992,1238508
HI,total,2002,1239613
NH,total,2000,1239882
PA,total,2004,12410722
ME,total,1995,1243481
LA,under18,1996,1244627
PA,total,2005,12449990
VT,under18,2012,124555
ID,total,1998,1252330
MN,under18,1996,1252722
IL,total,2003,12556006
PA,total,2007,12563937
IL,total,2004,12589773
ME,total,1998,1259127
TN,under18,1992,1259458
IL,total,2005,12609903
MD,under18,1993,1261738
PA,total,2010,12710472
HI,total,2004,1273569
MN,under18,1998,1275940
MN,under18,2012,1278050
MD,under18,1994,1280772
MN,under18,2010,1282693
MN,under18,1999,1283102
IL,total,2010,12839695
MN,under18,2008,1284179
IL,total,2013,12882135
MN,under18,2002,1288795
MN,under18,2000,1289715
ME,total,2002,1295960
ID,total,2000,1299430
MD,under18,1995,1300695
WA,under18,1990,1301545
TN,under18,1994,1310988
NH,total,2007,1312540
WY,under18,2008,131511
NH,total,2008,1315906
WI,under18,2012,1316113
MO,under18,1990,1316423
ME,total,2005,1318787
ME,total,2006,1323619
VT,under18,2008,132600
WY,under18,1998,132602
ME,total,2007,1327040
ME,total,2008,1330509
WI,under18,1992,1330555
WI,under18,2010,1336094
MD,under18,2013,1344522
TN,under18,1996,1345723
MD,under18,2012,1346235
HI,total,2009,1346717
VT,under18,2007,134695
MO,under18,1992,1349729
NV,total,1992,1351367
WI,under18,1996,1352877
WY,under18,2010,135351
WI,under18,2004,1354643
MD,under18,2000,1356961
TN,under18,1997,1359030
MD,under18,2008,1359214
WI,under18,1997,1359712
ID,total,2003,1363380
HI,total,2010,1363731
FL,total,1992,13650553
WY,under18,2012,136526
WI,under18,2002,1365315
MO,under18,1993,1365903
WI,under18,1999,1367019
WY,under18,1991,136720
WI,under18,2001,1367593
TN,under18,1998,1369987
WY,under18,1992,137308
MA,under18,1991,1375110
MD,under18,2003,1379641
MD,under18,2005,1382966
MD,under18,2004,1383450
TN,under18,1999,1385997
FL,total,1993,13927185
MO,under18,2012,1405015
TN,under18,2001,1407578
MO,under18,1996,1408732
VT,under18,2004,141068
NV,total,1993,1411215
MO,under18,2011,1414444
MA,under18,1993,1415724
MO,under18,1997,1419837
MO,under18,2005,1422978
FL,total,1994,14239444
MO,under18,2002,1424513
MO,under18,2001,1426575
MO,under18,2009,1426603
AZ,under18,2002,1427938
MO,under18,1999,1428047
MO,under18,2000,1428383
WA,under18,1995,1429397
VT,under18,1990,143296
VT,under18,1991,145219
MA,under18,1995,1453489
AZ,under18,2003,1453671
MA,under18,2005,1464140
ID,total,2006,1468669
VT,under18,1992,146983
ND,under18,2007,147263
IN,under18,1993,1473007
MA,under18,1997,1478203
TN,under18,2007,1482747
VT,under18,1998,148467
FL,total,1996,14853360
MA,under18,1998,1491652
TN,under18,2011,1491837
MA,under18,2003,1493372
TN,under18,2008,1494354
NV,total,1994,1499298
VT,under18,1997,150040
MA,under18,2002,1502652
ND,under18,2003,150406
ID,total,2007,1505105
IN,under18,1995,1507916
WA,under18,2003,1514877
VT,under18,1996,151490
WA,under18,2001,1517527
IN,under18,1996,1517961
FL,total,1997,15186304
WA,under18,2004,1520751
WA,under18,2005,1523890
WA,under18,2006,1536926
WA,under18,2007,1549582
ID,total,2009,1554439
NM,total,1991,1555305
WA,under18,2008,1560302
FL,total,1999,15759421
WA,under18,2010,1581436
VA,under18,1992,1581544
NV,total,1995,1581578
IN,under18,2003,1582560
IN,under18,2013,1586027
IN,under18,2012,1589655
IN,under18,2005,1593898
ID,total,2012,1595590
NE,total,1991,1595919
IN,under18,2006,1603107
IN,under18,2010,1605883
IN,under18,2009,1609704
IN,under18,2008,1611494
ID,total,2013,1612136
NC,under18,1990,1625804
ND,under18,2013,162688
VA,under18,1995,1649005
ND,under18,1998,165448
DE,under18,1990,165628
VA,under18,1996,1664147
NE,total,1997,1686418
NE,total,1999,1704764
ND,under18,1990,170920
NC,under18,1993,1710267
ND,under18,1995,171146
ND,under18,1992,172052
VA,under18,1999,1723125
NE,total,2003,1738643
TX,total,1991,17398005
DE,under18,1992,174166
NC,under18,1994,1750754
VA,under18,2001,1754549
DE,under18,1993,176916
GA,under18,1991,1773675
AK,under18,1990,177502
UT,total,1991,1779780
VA,under18,2003,1782254
WV,total,1990,1792548
NM,total,1998,1793484
WV,total,1991,1798735
VA,under18,2004,1801958
WV,total,2002,1805414
WV,total,1992,1806451
WV,total,2000,1807021
DE,under18,1994,180833
NY,total,1991,18122510
NE,total,2009,1812683
WV,total,1998,1815609
WV,total,2004,1816438
FL,total,2006,18166990
WV,total,1994,1820421
WV,total,2005,1820492
NM,total,2000,1821204
WV,total,1996,1822808
NY,total,1992,18246653
VA,under18,2006,1826368
AK,under18,2008,183124
WV,total,2007,1834052
FL,total,2007,18367842
WV,total,2008,1840310
VA,under18,2009,1845132
NJ,under18,1991,1849605
NY,total,1995,18524104
FL,total,2008,18527305
WV,total,2013,1854304
NM,total,2002,1855309
AK,under18,2006,185580
TX,total,1994,18564062
NY,total,1996,18588460
NC,under18,1997,1861621
AK,under18,2004,186335
AK,under18,2009,186351
GA,under18,1993,1865021
NY,total,1997,18656546
AK,under18,2003,186843
AK,under18,1993,187190
NY,total,1998,18755906
NM,total,2003,1877574
AK,under18,2010,187902
AK,under18,2013,188132
AK,under18,2012,188162
FL,total,2010,18846054
AK,under18,2001,188771
DE,under18,1998,189302
GA,under18,1994,1906539
FL,total,2011,19083482
NY,total,2002,19137800
AK,under18,1998,192636
NJ,under18,1993,1928623
NY,total,2009,19307066
FL,total,2012,19320749
NC,under18,1999,1932141
NY,total,2010,19398228
GA,under18,1995,1949818
FL,total,2013,19552860
DE,under18,2001,196038
NM,total,2006,1962137
NY,total,2013,19651127
SD,under18,2004,196804
SD,under18,2003,197326
SD,under18,2002,198694
SD,under18,2007,198847
NJ,under18,1995,1997187
NC,under18,2001,2003782
SD,under18,2001,200795
SD,under18,2009,201204
TX,total,1998,20157531
SD,under18,1991,201749
NV,total,2000,2018741
NC,under18,2002,2034451
NJ,under18,2012,2035106
DE,under18,2013,203558
NM,total,2009,2036802
DE,under18,2006,203729
SD,under18,1999,203737
NJ,under18,2011,2049453
DE,under18,2007,205155
TX,total,1999,20558220
NC,under18,2003,2060838
DE,under18,2008,206116
NM,total,2010,2064982
SD,under18,1992,206632
UT,total,1996,2067976
GA,under18,1998,2078998
NM,total,2012,2083540
SD,under18,1994,208443
NC,under18,2004,2085165
NM,total,2013,2085287
NV,total,2001,2098399
NJ,under18,2006,2106403
NC,under18,2005,2122485
GA,under18,1999,2130698
RI,under18,2012,216591
NC,under18,2006,2166393
TX,total,2002,21690325
GA,under18,2000,2176576
MT,under18,2005,221685
NC,under18,2007,2219168
MT,under18,2004,221999
MT,under18,2012,222905
MT,under18,2011,222977
MT,under18,2003,223012
MT,under18,2010,223292
MT,under18,2009,223675
MT,under18,1990,223677
UT,total,2000,2244502
MI,under18,2013,2245201
MT,under18,2002,224772
NV,total,2003,2248850
RI,under18,2009,225902
MT,under18,2001,227118
NC,under18,2009,2272955
GA,under18,2003,2278710
NC,under18,2010,2282288
NC,under18,2011,2284238
NC,under18,2013,2285605
RI,under18,1991,229448
MI,under18,2011,2299116
MT,under18,1992,230868
UT,total,2002,2324815
RI,under18,2007,233655
NV,total,2004,2346222
UT,total,2003,2360137
MI,under18,2009,2372603
MT,under18,1994,237289
AR,total,1991,2383144
GA,under18,2006,2406014
AR,total,1992,2415984
MI,under18,2008,2418879
TX,total,2008,24309039
MI,under18,1990,2459633
RI,under18,2004,246228
RI,under18,1999,247014
GA,under18,2008,2479097
TX,total,2009,24801761
RI,under18,2000,248065
RI,under18,2003,248075
RI,under18,2001,248296
GA,under18,2012,2487831
